,index,Ungeneralized,Generalized,Generalizations
144,144,biological_process,,
145,145,lymphocyte chemotaxis,,
146,146,protein self-association,,
147,147,response to estradiol,,
148,148,beta-catenin binding,,
149,149,positive regulation of microglial cell activation,,
150,150,small GTPase binding,,
151,151,zinc ion binding,,
152,152,lamellar body,,
153,153,DNA-binding transcription factor activity,,
154,154,chemotaxis,,
155,155,monocyte chemotaxis,,
156,156,mRNA transport,,
157,157,transcription preinitiation complex,,
158,158,chemokine activity,,
159,159,regulation of inflammatory response,,
160,160,response to organic substance,,
161,161,cytoskeleton organization,,
162,162,prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis,,
163,163,carbohydrate binding,,
164,164,cellular response to tumor necrosis factor,,
165,165,intracellular protein transport,,
166,166,epidermal growth factor receptor signaling pathway,,
167,167,negative regulation of angiogenesis,,
168,168,tetraspanin-enriched microdomain,,
169,169,regulation of cytokine production,,
170,170,chemokine-mediated signaling pathway,,
171,171,"DNA-binding transcription activator activity, RNA polymerase II-specific",,
172,172,serine-type endopeptidase activity,,
173,173,GO:0055114,,
174,174,positive regulation of RNA polymerase II transcription preinitiation complex assembly,,
175,175,mammary gland branching involved in pregnancy,,
176,176,prostaglandin-E2 9-reductase activity,,
177,177,cysteine-type endopeptidase activity,,
