,data,label
42,"For our company cars (leased), we promote the use of hybrid and other eco-friendly vehicles (which now account for 95% of vehicles).",sustainable
43,"We also explored which options companies consider when it comes to low-carbon business models, for example with respect to investments in renewables.",sustainable
44,"Without changes to the food system, we see food-induced water stress worsening for two reasons: ȷ First, we note that the World Bank estimates the global population will reach close to ten billion people by 2050, which will increase total water demand as well.",unsustainable
45,"If waste is unavoidable, we review the options for recycling or energy recovery to close materials cycles, using BASF’s existing Verbund structures for efficient waste management.",sustainable
46,Our exposure to climate-sensitive sectors (transition risks) reduced to 8.2% (USD 37.5 billion) from 8.6% at the end of 2020 and 9% at the end of 2019.,sustainable
47,"Technology risk includes risks potentially triggered by technology non-compliance with regulatory obligations, information security and privacy incidents, business disruption, technology internal control and process gaps, technology operational events, and adoption of new business technologies.",unsustainable
48,"At an asset level, we continue to strive to reduce our energy and carbon footprint and further improve the ESG performance of our assets.",sustainable
49,"While much of the focus has rightly been on climate change, as asset managers we must be ready to help our clients address other areas of growing priority – including providing better healthcare, improving food security, conquering the digital divide and addressing inequality in all its guises – that are rising up the agenda for investors.",sustainable
50,"The Group scheduled developments in all business segments: in the water segment, aiming to qualify as a Smart Water Company, with virtuous processes of resource protection and management optimisation, using the leverage effect of innovation; in the energy segment, with the development of renewable photovoltaic sources, in favour of the decarbonisation of energy production, advanced systems to manage demand and increase the resilience of the grid; in the environmental segment, with development initiatives, from a circular economy perspective, on multi-materials and local composting.",sustainable
51,"At the San Vittore del Lazio waste-to-energy plant, rainwater is used in the production of demineralised water, after treatment in a specific chemical-physical plant, and is completely reused in the process, without discharge.",sustainable
52,Paper consumption was further reduced on both an absolute basis and per FTE in the year under review.,sustainable
53,"Conversely, companies that provide solutions are likely to have much more sustainable business models.",unsustainable
54,"For example, in the case of deforestation, land use change and habitat destruction all contribute to ecosystem degradation, which in turn exacerbates climate change and increases the severity of natural disasters.",unsustainable
55,"In 2017, we exceeded our 2020 goal to reduce GHGs by 40 percent (from a 2008 baseline for all tracked real estate, excluding data centers) five years early, with $103 million in associated cumulative savings.",sustainable
56,The Group has measured gender pay gaps of its main affiliates and is proactively working to reduce these gaps across the organisation.,sustainable
57,"We also take into account whether they are innovation-driven or offer a technological differentiation, and make new, sustainable business models possible.",sustainable
58,"Scope 3 is currently not subject to reporting, therefore it is not applicable.",unsustainable
59,"Later in this report, we will highlight a number of technologies that we believe should help to achieve further gains in agricultural productivity and in turn help reduce the need for more agricultural land.",unsustainable
60,With reduced fertilizer usage there is less water pollution.,unsustainable
61,"We also logged more than 1,600 volunteering hours to help local charity projects.",sustainable
62,The German Fuel Emissions Trading Act (BEHG) stipulates the introduction of a national carbon pricing system for fuel in Germany starting in 2021.,unsustainable
63,Malnutrition is not the only reason why the global food system needs to change.,unsustainable
64,"Scope 3 includes indirect greenhouse gas emissions, such as the extraction and production of purchased materials, transport-related activities, waste disposal, and employee travel.",unsustainable
65,"In addition, we encourage the use of virtual meetings and train transportation.",sustainable
66,But there’s a negative side to this success – and that’s plastic waste.,unsustainable
67,"CO2 emissions per production unit are now an important element for corporate competitiveness, and companies’ interests, assets, businesses and others related to fossil fuels can be assumed to become “stranded assets” and may lose their value in the future.",unsustainable
68,"Amundi pursues a responsible paper policy both in France and abroad, with the objective of reducing its use of paper, promoting careful use of paper and recycling used paper.",sustainable
69,"The information available on the Global Coal Exit List, whose methodology and full list of issuers are publicly available and accessible on the website below.",unsustainable
70,"Our carbon offset purchases finance renewable energy, forestry and resource conservation projects globally.",sustainable
71,"Our message is simple: we want to reduce, reuse and recycle – focusing heavily on reducing and only looking at reusing and recycling where no alternative is available.",sustainable
72,"Since 2007 when it was launched, we have financed more than $200 billion in capital towards clean energy, energy efficiency, water conservation, sustainable transportation, and other environmentally supportive activities.",sustainable
73,"The other challenge is to measure a company's carbon footprint, which is defined to include emissions from its own operations as much as emissions from its supply chain at the upstream end and its customers at the downstream end.",unsustainable
74,"‘PACTA for Banks’ will continue to evolve and 2DII plans to add new sectors, such as heavy-duty vehicles in the automotive sector, and shipping and aviation.",sustainable
75,"Sewage from the headquarters is instead collected and transferred in an “Imhof tank” with a sub-irrigation system for clarified material into the soil, which came into operation in 2020.",sustainable
76,The process of negative screening narrowed the investment universe somewhat and reduced the scope for diversification.,unsustainable
77,"When we do travel, we aim to reduce our emissions by leveraging lower-carbon options, including by transitioning our entire owned vehicle feet to electric by 2025.",sustainable
78,"Scope 3 emissions, where not available, have been estimated applying conversion factors on production volume, following the Intergovernmental Panel on Climate Change (IPCC) approach.",unsustainable
79,"Similarly, we have accelerated our plans this year to cut operational carbon emissions to zero, advancing our deadline by a decade to 2030 from 2040 previously.",sustainable
80,"Since launching this solution, we had built up a feet of 20 000 bicycles, primarily consisting of electric and speed e-bicycle models, ideal for commuters.",sustainable
81,"As defined by EMF, a circular economy is a systems solution framework that tackles global challenges like climate change, biodiversity loss, waste, and pollution.",unsustainable
82,"Furthermore, we help our customers take a more sustainable approach to recycling or disposing of our products and packaging.",sustainable
83,The dialogue started with a letter to the Brazilian government on the issue of deforestation which was signed by 29 financial institutions.,unsustainable
84,"Government grants: Government grants related to the acquisition or construction of property, plant and equipment reduce the acquisition or construction cost of the respective assets.",unsustainable
85,We have introduced a new simplified Global Travel Policy that enables us to reduce costs and CO2 emissions.,sustainable
86,"At the core of the approach is our goal to preserve and enhance risk-adjusted returns and to reduce environmental risk, improve asset efficiency, and deliver high-quality spaces to tenants.",sustainable
87,"The analysis in this chapter shows that a change in what food is produced, what is eaten and how much is eaten is required to bring the global food system and human health on a more sustainable path.",unsustainable
88,"Having committed to reducing our vehicle feet CO2 emissions every year from 2016 until 2020, we have begun to source more environmentally friendly cars, along with implementing other initiatives (see case study opposite).",sustainable
89,"In 2020, Natixis won two categories: “Annual CO2 emissions/GHG emissions” and “Annual consumption/Institutional, promotional and desktop documents”.",sustainable
90,"To help us focus on things that matter the most to our employees, Europa promotes a continuous performance and development cycle by encouraging employee feedback through targeted surveys and annual appraisal reviews.",sustainable
91,The World Resources Report lists a wide variety of approaches at various stages of the supply chain to reduce food loss and waste.,unsustainable
92,"Under this system, our waste streams are broken down into five categories by percentage: landfilling, thermal disposal, waste-to-energy, recycling, and prevention.",unsustainable
93,"As an example, in the calculation as of the end of 2020, carbon emissions of an issuer relate to 2019, whereas market capitalization is shown as of the end of 2020.",unsustainable
94,"In 2020, the management of the agreement was committed to strengthening the ESG criteria defined, i.e. compliance with the constraints of SRI ratings, EET and carbon footprint within the agreement.",sustainable
95,"Our ambition is to reduce carbon intensity further, by establishing roadmaps to reach net-zero.",sustainable
96,We achieved our goal to reduce energy use by 40 percent.,sustainable
97,"However, a challenge remains for many economic actors: quantifying their impact in order to propose the most effective decarbonization plans.",unsustainable
98,The main goal of Client Energy Transition Framework (CETF) is to encourage our clients to transition to low-carbon activities.,sustainable
99,"In particular, with a view to circular economy, Acea exploits the integration into water activities to ecover sludge from water purification and send it for treatment to become compost, also committing itself to the growth of its market position and operational capacity through plant acquisition and development projects.",sustainable
100,The battery technology in electric and hybrid vehicles requires specific handling methods.,unsustainable
101,"This pillar is studied according to four criteria, two environmental and two social: water and biodiversity: ensuring efficient use of water resources and good control of negative externalities throughout the industrial process to preserve biodiversity; pollution and waste: ensuring that the principles of the circular economy are taken into account in the design, production and use of products/services to reduce pollution and promote recycling; working conditions: ensuring that employees, subcontractors and suppliers work in good health and safety conditions; human rights: ensuring that the trade union freedoms and fundamental human rights of employees, subcontractors and suppliers are respected.",sustainable
102,"At the end of 2020, the outcome of this innovative approach was positive: greater importance was given to the energy transition in the management strategy for equity portfolios with assets of €18 billion at market value at the end of 2020; the ESG performance of CNP’s equity portfolios is close to that of the model portfolios; in terms of ESG performance, CNP Assurances’ equity portfolios outperformed the usual benchmark indices and remained balanced, allowing exposure to the economy as a whole.",sustainable
103,Minibuses are a key part of the South African transportation sector as approximately 67 percent of all travel in South Africa is via minibus.,unsustainable
104,"Since 1990, we have been able to lower our overall greenhouse gas emissions from chemical operations by 48% and reduce speciﬁc emissions by 75%.",sustainable
105,"Despite the Paris Accord being agreed in December 2015, only in the last two years have we seen carbon emissions emerge to take center stage in investment debates.",unsustainable
106,We provide financing for circular business activities.,sustainable
107,"All the same, it remains a good starting point for measuring the carbon footprint of our investments.",unsustainable
108,"Finally, with the aim of promoting reuse of purified wastewater in the Integrated Water Service, at the Cobis treatment plant sections were completed for refinement of treated water, for its reuse for non-drinking-water purposes.",sustainable
109,"This year we have set a commitment to reduce our Group balance sheet portfolio carbon emission intensity by half by 2030, starting with a target reduction of 2% in 2021.",sustainable
110,The term “carbon footprint” in this report refers to absolute emissions financed by BlackRock’s clients’ investments divided by BlackRock’s AUM (rounded to $ millions) in those securities.,unsustainable
111,Committed to mobilize $250 billion in capital to support low-carbon solutions by 2030.,sustainable
112,"Exposure to ecotaxes levied on transport, as well as fossil energy price fluctuations, are major factors for consideration.",unsustainable
113,"It intends to make every SGS employee feel empowered to drive operational efficiency, improve quality, and to reduce our environmental footprint, while at the same time, contributing to a more agile and innovative SGS.",sustainable
114,Environmental and social responsibility is embedded in our daily work as we constantly strive to reduce our direct environmental footprint and encourage our staff’s involvement in impactful initiatives.,sustainable
115,"Application processes: Following internal policies based on procedures for evaluating social and environmental considerations, the Equator Principles Department carries out assessments of environmental and social impacts relating to individual projects.",unsustainable
116,"In 2020, we established environmental KPIs to further address climate change-related risks that include target for reducing CO2 emissions by 2030.",sustainable
117,This is an investor- led initiative to engage systemically important greenhouse gas emitters and other companies across the global economy that have significant opportunities to drive the clean energy transition and help achieve the goals of the Paris Agreement.,sustainable
118,This volatility reduces when extending the period of comparison.,unsustainable
119,Any non-IT related incidents can be reported and investigated through either the Corporate Security Incident Reporting procedure or the Integrity Reporting procedure.,unsustainable
120,The need to change what and how much we eat should be one of the most obvious targets if the global food system is to become more sustainable.,unsustainable
121,"And by 2040, we will achieve climate neutrality and reduce our resource consumption.",sustainable
122,"We have adopted a very cautious stance towards the financing of existing and new plants given the physical and other risks and issues associated with nuclear waste, unless it can be shown that the project is part of the energy transition and is supported by the relevant government.",sustainable
123,"BNY Mellon uses water in our offce facilities for our cafeterias, cooling and heating needs, restrooms, and irrigation.",unsustainable
124,"Scope 3 calculations are based on data for the relevant activity, applying published emissions factors and GWPs.",unsustainable
125,"In accordance with its voting policy, CNP Assurances cast negative votes in 2020 against a company that had not taken and implemented sufficiently ambitious decisions to reduce greenhouse gas emissions.",sustainable
126,The portfolio of bicycle loans in Belgium results in 2 109 tonnes of avoided emissions of CO2.,sustainable
127,"At present, we only record Scope 3 emissions globally, and not at site or legal entity level.",unsustainable
128,"While we are able to look back at yet another year of injury rates well within our target, it is with deep regret that we report the loss of two lives in our operations in 2019.",unsustainable
129,(ii) Emissions factors: The CO2 emissions factor for crude oil was taken from IPCC.,unsustainable
130,"Depending on regulatory standards and the energy footprint, we sometimes use freshwater for cooling in a once-through system.",unsustainable
131,We divided our employee engagement program into two parts.,unsustainable
132,"The classifcation is based on (i) the EU taxonomy for environmental criteria, (ii) scope 1 and 2 carbon emissions data at the client level (where available) or sectoral level and (iii) internal expert judgement.",unsustainable
133,"The company has reduced its total carbon footprint by 27% since 2017, and reduced its carbon intensity by 15% over the same period.",sustainable
134,"Moreover, JRE requests the PM companies to make proposals to help JRE reduce environmental impacts, such as energy efficiency measures in buildings.",sustainable
135,Our goal is to minimize risks along the entire transportation chain – from loading and transportation to unloading.,sustainable
136,"The project that scored most highly at the end of the course offers solar dehydrators, which enable small farms to increase their profits by extending the life of harvested fruits, vegetables and herbs.",sustainable
137,"For the Water sector, the main risks are due to the effects of acute or chronic climatic phenomena or seismic events, which could lead to structural failure or malfunctions in the plants and network systems managed, causing water shortages for users or accidental spillage of pollutants; inefficient operational management of water, which could cause high levels of losses with consequent excessive consumption; water stress; possible breach of water control parameters with environmental consequences; inadequate interventions on the sewage treatment system with possible contamination of the soil and water bodies; risks of fires and explosions in treatment plants related to the production of biogas, with possible impacts in terms of emissions into the atmosphere.",unsustainable
138,"The Joint Committee, set up by virtue of the Protocol on Water Tender Contracts between Acea SpA, Acea Ato 2, the Trade Unions and the Trade Federations, in recent years, by means of collaborative discussions, facilitated the transparency of information and reduced the number of critical issues regarding the safety and organisation of the work of contractor Company personnel.",sustainable
139,"Launched in 2017 on the new Peugeot 308, the new generation is now being installed on Groupe PSA vehicles across 100 models in more than 70 countries.",unsustainable
140,Roadworks has already reduced its carbon footprint by 11% since 2018.,sustainable
141,All brands promote electrified vehicles and their advantages on their websites.,unsustainable
142,We continue to work to reduce our operational footprint by developing detailed and time bound plans in all of our business to achieve our aim of net zero.,sustainable
143,Amundi encourages its employees to reduce emissions in their commute to work.,sustainable
144,"We have been working to reduce energy consumption and GHG emissions of our portfolio, and have achieved a lower consumption levels and emissions than in previous years.",sustainable
145,"Both types of criteria were applied to the Companies included in the scope of consolidation of the Parent Company in 2020 (see table no. 2) resulting in a proposal of scope, initially shared with Top Management, the Board of Statutory Auditors and the relevant board committees.",unsustainable
146,"Our regulations cover the transportation of raw materials, activities at our sites and warehouses, and distribution of our products as well as our customers’ application of the products.",unsustainable
147,We are also exploring options to provide energy to data centers that is renewable or non-polluting such as hydrogen fuel cell technologies.,sustainable
148,"In addition, we use energy efficient LED lighting technology and motion sensors to reduce our water usage.",sustainable
149,"While our custodial clients ultimately bear the risks of climate change in their portfolios, we are committed to help them identify these risks and offer them asset management products and services that can reduce these risks.",sustainable
150,Promote the use of recycled materials from wherever possible.,sustainable
151,Furthermore the team work to monitor and reduce ESG risks to improve each investment’s sustainability over the ownership period.,sustainable
152,"We aim to reduce our greenhouse gas emissions per metric ton of sales product by 40% by 2020, compared with baseline 2002.",sustainable
153,These groups stepped up in significant ways to help their colleagues cope with isolation while continuing important personal and professional development.,sustainable
154,"Amundi has chosen to calculate its carbon emissions on scopes 1, 2 and 3, which correspond to the entity’s direct and indirect emissions.",unsustainable
155,"Beyond our defined goals, as signatories of the RE100, we increased our renewable electricity investment, maintained our Carbon Neutral status and began working with the Task Force on Climate-Related Financial Disclosures.",sustainable
156,The recoverable amount is the higher of fair value less costs to sell and the value in use.,unsustainable
157,"Wherever possible, we work with local suppliers to ensure that goods are transported over short distances.",sustainable
158,"It comprises of natural capital, such as water, air, soil, as well as marine and terrestrial fauna and flora that are grown in such resources under the blessings of the sun.",unsustainable
159,"To do this, we use recooling plants that allow water to be reused several times.",sustainable
160,"The program targets new technologies to significantly reduce greenhouse gas emissions from production at our Verbund site in Ludwigshafen, Germany.",sustainable
161,Composting of biowaste is recorded under recycling.,unsustainable
162,"In 2020, CNP Assurances formalised this commitment by signing the Tobacco-Free Finance Pledge.",sustainable
163,We seek to minimize the waste we generate and to re-use or recycle materials wherever possible.,sustainable
164,The BELCA (Building and Equipment Long-Life Cycle Association) Award is a program to select and recognize exemplary buildings and structures among those that are properly repaired and maintained or have undergone excellent renovation work.,unsustainable
165,JPR and TRIM are working to save energy and reduce CO2 emissions by setting an environmental goal of reducing the energy consumption intensity and the CO2 emission intensity of the entire portfolio by 5% or more for five years from 2017.,sustainable
166,First Camp is working on a range of strategies to reduce its carbon footprint.,sustainable
167,The calculation of a portfolio’s carbon footprint initially consists of calculating the amount of rateable assets in the portfolio.,unsustainable
168,"We are implementing a new travel policy to reduce fights for internal meetings and urging more environmentally friendly options such as videoconferencing or rail travel, when possible.",sustainable
169,"We also help our customers to implement efficient and manageable processes and systems that conserve natural resources, reduce pollution and protect biodiversity.",sustainable
170,"New farming methods include aquaponics, where plants are grown in water that is fertilised by fish, and vertical farming, where crops are grown in stacks.",unsustainable
171,Negative currency effects reduced sales development considerably.,unsustainable
172,Scope 1 and 3 reporting uses the UK Defra 2020 GHG Conversion Factors.,unsustainable
173,"With the publication of this report, we are announcing new, progressive, multi-decade targets around advancing a circular economy and climate protection.",sustainable
174,"In 2017, we committed to facilitate $200 billion in clean fnancing by 2025 to further support our clients in advancing their sustainability objectives in the sectors of renewable energy, clean technology, clean transportation, waste management and water treatment, among others.",sustainable
175,"Our standards for controversial activities and areas of concern not only take into account deforestation and forest degradation but also other activities like fisheries, which have an impact on marine species.",sustainable
176,"For private issuers, this data relates to scopes 1 and 2 and a part of scope 3 corresponding to indirect emissions related to the first-tier suppliers (“Scope 3 upstream first tier”).",unsustainable
177,"Each member of staff here at Natixis has a crucial role to play in this change, and so we constantly endeavor to raise awareness company-wide and encourage our staff’s efforts via a range of community and environmental initiatives, as we reduce our use of resources, ensure we manage our buildings responsibly, and promote environmentally friendly mobility practices.",sustainable
178,"From the analysis shown so far, it is clear to us that meeting the challenges associated with creating a more sustainable food system globally requires a substantial transition of all relevant parts of the supply chain.",unsustainable
179,"Based on the portfolio analysis described above, we are working on white papers for the energy, commercial real estate, agriculture, food production, building and construction, chemicals, transportation and metals industry sectors, as well as for three specific product lines: mortgages, car loans and car leasing.",sustainable
180,Biodiversity loss is a risk that can no longer be ignored.,unsustainable
181,Daily wage and migrant labourers have lost their livelihoods and disruptions to the supply chain mean that farmers have been unable to sell produce.,unsustainable
182,All these activities help the supply chain to reduce its carbon footprint.,sustainable
183,"JPMorgan Chase — principally through our CIB and CB businesses — provides strategic advice, raises capital, extends loans, and offers risk management solutions to help our clients achieve their sustainability objectives and make the transition to a low-carbon economy.",sustainable
184,"Latin America Brazil: Plant-based protein is still a niche market in Brazil, although the food industry agrees that it is a potentially attractive growth market.",unsustainable
185,"In tandem with the carbon neutrality goal, we are committing to reduce our location-based emissions by 75% by 2030.",sustainable
186,"After long standing tenants moved out of the building, BNP Paribas REIM was able to completely renovate the asset with recycled materials, minimizing energy consumption and improving biodiversity.",sustainable
187,This uses engagement with companies to support the climate transition pathway towards a low-carbon economy.,sustainable
188,Several of the materials we store and transport are classified as hazardous.,unsustainable
189,"Firstly, we want to contribute to a reduction in carbon emissions in the Netherlands by making the residential and commercial real estate that we finance in the country more sustainable.",sustainable
190,Our three-part approach for achieving carbon neutrality includes: (1) reducing our energy use and related greenhouse gas emissions as described above; (2) procuring renewable electricity; and (3) purchasing carbon offsets to compensate for any remaining emissions in our footprint.,sustainable
191,The CO2 emissions factor for natural gas was calculated on the basis that natural gas is solely methane that is entirely converted into CO2.,unsustainable
192,The best way to reduce waste management is to reduce waste production at each stage of production process.,unsustainable
193,"The company develops agronomic weather, crop and pest models that can rapidly translate data into insights for more efficient agricultural production.",sustainable
194,"By promoting direct dialogue with the companies in which it is a shareholder, CNP Assurances pursues the following objectives: support CNP Assurances’ climate and biodiversity strategy by encouraging companies in which it is a shareholder or bondholder to take and implement ambitious decisions on the environmental and energy transition (EET) in line with the Paris Agreement, and to disclose information on their greenhouse gas (GHG) emissions and risks related to climate change and biodiversity loss; improve the governance of the companies for which CNP Assurances has the most opposing votes at General Meetings in terms of remuneration or composition of the Board of Directors.",sustainable
195,"We have measured carbon emissions for scopes 1,2 and parts of scope 3 of our own operations since 2004.",unsustainable
196,"Without urgently tackling and reversing deforestation, meeting the net zero challenge will be impossible.",unsustainable
197,"Interactions also take place through research projects with public bodies: in 2020, Acea participated in the activities of the Italian Research and Industrial Development Centre (AIRES), a network of companies, institutions and technology consortia engaged in the development of a circular economy and environmental sustainability, and the Italian Phosphorus Platform promoted by the Italian Ministry of the Environment and managed by ENEA.",sustainable
198,"We are committed to managing finite resources more effectively and developing ways to reuse, recycle and prevent waste.",sustainable
199,These programs are changing consumer behavior by encouraging the purchase of vehicles with lower CO2 emissions.,sustainable
200,Accidents and incidents are recorded through the security team and accident rates tracked via facilities.,unsustainable
201,It can also relate to more stringent regulation and reputation risk linked to deforestation.,unsustainable
202,"Data and information supporting the Scope 3 GHG emissions assertion were in some cases estimated, rather than historical in nature.",unsustainable
203,First-aid incidents are generally not included in the LTIR since these usually do not result in more than one day of missed work.,unsustainable
204,"Scope 2 emissions, from purchased electricity, are the largest driver of our building-related emissions and overall operational GHG footprint.",unsustainable
205,"To be a responsible corporate citizen, State Street continuously works to minimize the environmental impacts of our business operations and set aggressive goals to reduce the environmental footprint of our business.",sustainable
206,BNY Mellon is not active in project financing and is not an Equator Principles signatory.,unsustainable
207,"This year, the carbon offsetting initiative will be implemented by the Indonesian non-governmental organisation IDEP Foundation.",unsustainable
208,The North Alliance is targeting a 58% reduction in its total carbon footprint.,sustainable
209,"In 2020, CNP Assurances: held direct dialogues with 11 companies; sent 21 letters to companies asking them to publish a plan for their exit from thermal coal; supported two collaborative engagement campaigns to stop the development of coal-fired power stations and reduce greenhouse gas emissions; participated in collective dialogue with a European energy company through the Climate Action 100+ initiative.",sustainable
210,"The assets acquired included Bayer’s global glufosinate-ammonium business, commercialized under the Liberty®, Basta® and Finale® trademarks, as well as its seed businesses for key field crops in selected markets.",unsustainable
211,"The Equator Principles uses the Basel Committee on Banking Supervision’s definition of project finance, which is “a method of financing in which the lender looks primarily to the revenues generated by a single Project, both as the source of repayment and as security for the exposure.",unsustainable
212,"Scope 2 carbon dioxide emissions, deriving from leaks on electricity distribution networks, relative to total electricity distributed, is one of the intensity indices for greenhouse gas emissions monitored.",unsustainable
213,"These aim to minimise operational carbon emissions, implement a sustainable procurement approach, optimise waste management, and improve the working environment.",sustainable
214,"Scope 3 includes all energy sources from business travel, working from home, processing of waste, outsourced emissions from our data centers and paper consumption.",unsustainable
215,"We also continue to collaborate with our clients on renewable energy funds, green bond issuance and other sustainable finance vehicles.",sustainable
216,"For example, we succeeded in recycling 10 tons of paper, avoiding nearly 20 tons of CO2 being emitted into the atmosphere.",sustainable
217,We define Liquid Real Assets (LRA) as an investment style within our Alternatives business but which – unlike most vehicles within Alternatives – has daily net asset value and daily liquidity.,unsustainable
218,"As a firm, we are also striving to improve on some metrics, such as carbon footprint and climate change.",sustainable
219,"Carbon offsets are an important tool that enables companies to invest in projects that reduce GHG emissions and, in many cases, create valuable social and community co-benefts.",unsustainable
220,"The initiative encourages companies, organizations, governments and citizens to reduce and compensate for their greenhouse gas emissions.",sustainable
221,"In particular, food shortages, water shortages, and the biodiversity crisis are global issues, and reducing food waste, securing water resources, and protecting nature are material issues for corporate sustainability.",unsustainable
222,"Carbon emissions are calculated based on the estimated volume of a company's direct (scope 1) and indirect (scope 2 only) greenhouse gas emissions, related to its total turnover.",unsustainable
223,"The FAO estimates the economic, environmental and social costs associated with food waste at USD 2.6 trillion.",unsustainable
224,A further positive contribution was provided by the 25 electric vehicles already in use in 2019 by the Company’s staff in the context of a car-sharing scheme (Renault ZOE cars).,sustainable
225,"In addition, CNP Assurances supports a range of initiatives aimed at measuring the biodiversity footprint of our investments: in 2016 CNP Assurances became a founding member of Club B4B+ (Business for Positive Biodiversity), which brings together companies committed to positive biodiversity around CDC (Caisse des Dépots et Consignations); in May 2020, CNP Assurances joined the coalition of institutional investors calling for the creation of biodiversity impact measures respecting the transparency principles of the methodology.",sustainable
226,"Through 2019, we helped channel $80 billion into low-carbon financing, up $50 billion from 2018.",sustainable
